material_description|purchase_requisition_number|line_type|commodity_code|cost_center|purchase_order_number|currency|vendor_number|purchasing_organization_description|supplier_name_l1|item_number_of_purchase_requisition|requisition_date|supplier_part_number
EnSafe-SWTP|PR241961|Non-Catalog Item|Not Set|Environmental Remediation-ADM- 850A HVAC|Unclassified|USD|40001586|Carrier Corporation|ENSAFE INC|1|22 Sep 2022|Not Set
Sharegate Software Renewal|PR241957|Non-Catalog Item|Not Set|PROJECT OAK DT-CORP FUNCTIONS|Unclassified|USD|40001923|Carrier Corporation|INSIGHT DIRECT USA INC|1|22 Sep 2022|Not Set
AP SOE interface to JDE for AP Invoice Automation|PR241982|Non-Catalog Item|Not Set|CBS DIGITAL|Unclassified|USD|40002087|Carrier Corporation|LARSEN AND TOUBRO INFOTECH LIMITED EDISON SQUARE WEST|1|22 Sep 2022|Not Set
LTI PowerBI Resource Requirement for dashboard development|PR241995|Non-Catalog Item|Not Set|DT- COE Enablement|Unclassified|USD|40002087|Carrier Corporation|LARSEN AND TOUBRO INFOTECH LIMITED EDISON SQUARE WEST|1|22 Sep 2022|Not Set
Matlab Perpetual Licenses Maintenance & Support 01 Nov 2022 to 31 Oct 2023|PR210334|Non-Catalog Item|Not Set|SOUND & VIBRATION TECHNOLOGY|Unclassified|USD|40002984|Carrier Corporation|Mathworks Inc.|1|22 Sep 2022|Not Set
This Work Order is for general consulting and project management with no defined deliverables. The time available may be used by the Customer ;at their discretion for technical and advisory consulting on the Tridion Docs product. An RWS Project Manager will need to stay aligned with ;Customer PM and project schedule to make sure resources are available and scheduled to meet the Customer's support needs. The PM will also ;monitor and report on this budget.;The time is intended to be used to suppo|PR241744|Non-Catalog Item|Not Set|DT- Customer Experience COE|Unclassified|USD|40004510|Carrier Corporation|SDL INC|1|22 Sep 2022|Not Set
Tridion upgrade from 8.5 to 9.6 phase 1 for the 37 brands website and to perform the tasks mentioned in ;scope.|PR241994|Non-Catalog Item|Not Set|DT- Digital Operations|Unclassified|USD|40014577|Carrier Corporation|COGNIZANT WORLDWIDE LIMITED|1|22 Sep 2022|Not Set
Felder, Stephanie|PR242057|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|22 Sep 2022|Not Set
Smith, Asia|PR217874-V4|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|22 Sep 2022|Not Set
Smith, Jalen|PR242047|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|22 Sep 2022|Not Set
Ward, Lacey|PR242045|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|22 Sep 2022|Not Set
Wilson, Lucretia|PR241737|Non-Catalog Item|Not Set|WHQ CFO|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|22 Sep 2022|Not Set
2022 Kinaxis Subscription Fees|PR241873-V2|Non-Catalog Item|Not Set|CTD Manufacturing|Unclassified|USD|40017684|Carrier Corporation|KINAXIS CORP|1|22 Sep 2022|Not Set
Tube Furnace for Brazing and Heat Treatment|PR241799|Non-Catalog Item|Not Set|WHQ Advanced Materials|Unclassified|USD|40020195|Carrier Corporation|THERMCRAFT HOLDING CO LLC|1|22 Sep 2022|Not Set
Replace 38 fluorescent low bay fixtures with LED fixtures|PR242122|Non-Catalog Item|Not Set|CHARLOTTE WATER COOLED LAB|Unclassified|USD|40000695|Carrier Corporation|A AND W ELECTRIC INC|1|23 Sep 2022|Not Set
Cylinder Deposit|PR241923|Non-Catalog Item|Not Set|C&M Lab|Unclassified|USD|40001822|Carrier Corporation|HONEYWELL INTERNATIONAL INC|2|23 Sep 2022|Not Set
Solstice ze (R-1234ze(E)) [110 lb. cylinder]|PR241923|Non-Catalog Item|Not Set|C&M Lab|Unclassified|USD|40001822|Carrier Corporation|HONEYWELL INTERNATIONAL INC|1|23 Sep 2022|Not Set
Salesforce Digital Integration - Data Conversion|PR235891|Non-Catalog Item|Not Set|JDE Implementation Project|Unclassified|USD|40002087|Carrier Corporation|LARSEN AND TOUBRO INFOTECH LIMITED EDISON SQUARE WEST|1|23 Sep 2022|Not Set
Program Development Services:;50% Program Development Services;50% Product Analysis;50% Shake Table Testing|PR241862|Non-Catalog Item|Not Set|DLS CMNA JV R&D-HOLDING|Unclassified|USD|40009005|Carrier Corporation|STRUCTURAL INTEGRITY ASSOCIATES INC ATTN AR DEPT|1|23 Sep 2022|Not Set
Jackson, Kodeja|PR242150|Non-Catalog Item|Not Set|CTD Manufacturing|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|23 Sep 2022|Not Set
Latimore, Jimmy|PR242127|Non-Catalog Item|Not Set|CTD Manufacturing|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|23 Sep 2022|Not Set
Genpact - Carrier Amendment No. 8 SOW 5 to PO132258|PR207127-V2|Non-Catalog Item|Not Set|US CBS Management|Unclassified|USD|40017105|Carrier Corporation|GENPACT UK LIMITED|1|23 Sep 2022|Not Set
Genpact - Carrier Amendment No. 8 SOW 5 to PO132258|PR207127-V2|Non-Catalog Item|Not Set|US CBS Management|Unclassified|USD|40017105|Carrier Corporation|GENPACT UK LIMITED|2|23 Sep 2022|Not Set
CGS - AL2 D2 strip guide|PR242177|Non-Catalog Item|Not Set|RES VIRTUS-Aluminum|Unclassified|USD|40020122|Carrier Corporation|CGS MACHINE AND TOOL INC|1|24 Sep 2022|Not Set
Confort Systems - AL2 duct work|PR242178|Non-Catalog Item|Not Set|RES VIRTUS-Aluminum|Unclassified|USD|40020225|Carrier Corporation|COMFORT SYSTEMS USA KENTUCKY INC|1|24 Sep 2022|Not Set
Moeller, James|PR242190|Non-Catalog Item|Not Set|Field Service HQ Accounting and Controls|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|25 Sep 2022|Not Set
Commercial Onboarding 101 Development|PR242282|Non-Catalog Item|Not Set|Field Service HQ Human Resources|Unclassified|USD|40000079|Carrier Corporation|GRANDY AND ASSOCIATES LLC|1|26 Sep 2022|Not Set
Commercial Onboarding 101 Presentation and Materials|PR242282|Non-Catalog Item|Not Set|Field Service HQ Human Resources|Unclassified|USD|40000079|Carrier Corporation|GRANDY AND ASSOCIATES LLC|2|26 Sep 2022|Not Set
2022 - Jackson Oil & Solvents - Fuel for Indy Campus|PR218992-V2|Non-Catalog Item|Not Set|INDIANAPOLIS TRUCKING|Unclassified|USD|40000104|Carrier Corporation|JACKSON OIL AND SOLVENTS INC|1|26 Sep 2022|Not Set
QUOTE RQ2046;Pump 404 Customer reports pump is making mechanical noise|PR238148-V2|Non-Catalog Item|Not Set|CML CLT APPLIED LAB|Unclassified|USD|40000695|Carrier Corporation|A AND W ELECTRIC INC|1|26 Sep 2022|Not Set
Part Number: CEBD430433-E1-R Rev. -;8 day Turn Around|PR242251|Non-Catalog Item|Not Set|(RES HVAC)|Unclassified|USD|40000927|Carrier Corporation|AMITRON INC|1|26 Sep 2022|Not Set
Smartsheet Software License|PR241116-V2|Non-Catalog Item|Not Set|QUALITY CONTROL - INDY|Unclassified|USD|40001923|Carrier Corporation|INSIGHT DIRECT USA INC|1|26 Sep 2022|Not Set
WWT Filter Press Chute Extension and Installation|PR242350|Non-Catalog Item|Not Set|COLLIERVILLE WATER TREATMENT|Unclassified|USD|40001998|Carrier Corporation|JR STEWART PUMP AND EQUIP INC|1|26 Sep 2022|Not Set
Azure Hosting for usage in 2022|PR218020-V2|Non-Catalog Item|Not Set|DT- Global Cloud Services|Unclassified|USD|40002247|Carrier Corporation|MICROSOFT CORPORATION|1|26 Sep 2022|Not Set
Azure Hosting for usage in 2022|PR218020-V2|Non-Catalog Item|Not Set|DT- Global Cloud Services|Unclassified|USD|40002247|Carrier Corporation|MICROSOFT CORPORATION|2|26 Sep 2022|Not Set
ORBCOMM Software development|PR242257|Non-Catalog Item|Not Set|Telematics Service|Unclassified|USD|40002400|Carrier Corporation|ORBCOMM INC|1|26 Sep 2022|Not Set
Global DocuSign agreement - year 3 of the term|PR242337|Non-Catalog Item|Not Set|LEGAL OPERATIONS|Unclassified|USD|40004405|Carrier Corporation|DOCUSIGN INC|1|26 Sep 2022|Not Set
Supplies for badging credentials for all employees/contractors at 7310 W. Morris Street, Indianapolis, IN|PR242300|Non-Catalog Item|Not Set|FACILITY MAINTENANCE - INDY|Unclassified|USD|40013849|Carrier Corporation|UTC FIRE AND SECURITY AMERICAS CORPORATION INC|1|26 Sep 2022|Not Set
AWS Hosting for usage in 2022 (Landing Zone , Accelarator , Lynx and Control Tower)|PR218022-V2|Non-Catalog Item|Not Set|DT- Global Cloud Services|Unclassified|USD|40014969|Carrier Corporation|AMAZON WEB SERVICES INC|1|26 Sep 2022|Not Set
AWS Hosting for usage in 2022 (Landing Zone , Accelarator , Lynx and Control Tower)|PR218022-V2|Non-Catalog Item|Not Set|DT- Global Cloud Services|Unclassified|USD|40014969|Carrier Corporation|AMAZON WEB SERVICES INC|2|26 Sep 2022|Not Set
Calloway , Kelly|PR242319|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Sep 2022|Not Set
Delivery per SOW – Expense (2022-09-05)|PR242271|Non-Catalog Item|Not Set|CONTROL BOX ENGINEER|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Sep 2022|Not Set
Drilling , Danielle|PR242320|Non-Catalog Item|Not Set|ICP CUSTOMER SERVICE|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Sep 2022|Not Set
Hall , Quenjarvis|PR242318|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Sep 2022|Not Set
Muthukrishnan, Kennedy|PR211197-V3|Non-Catalog Item|Not Set|WAREHOUSE|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Sep 2022|Not Set
White, Anthony|PR230790-V3|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|26 Sep 2022|Not Set
Charlotte Suite K Capital Request (Order # 60005244)|PR242325|Non-Catalog Item|Not Set|SALES SUPPORT ADMIN SERVICES|Unclassified|USD|40016208|Carrier Corporation|CUSHMAN AND WAKEFIELD FIDUCIARY INC|1|26 Sep 2022|Not Set
CONTRACT CHANGE REQUEST AMENDMENT NO. 14 to SOW No. 5 - Effective October 1st 2022|PR242291|Non-Catalog Item|Not Set|US CBS Management|Unclassified|USD|40017105|Carrier Corporation|GENPACT UK LIMITED|1|26 Sep 2022|Not Set
eFlex- Carrier Corporation - Indianapolis -;Annual License 2022-2023|PR242323|Non-Catalog Item|Not Set|RES Vendor Spend|Unclassified|USD|40017758|Carrier Corporation|ELITE ENGINEERING INC EFLEX SYSTEMS|1|26 Sep 2022|Not Set
Elite Security Blanket PO 9-26-22;This blanket takes the place of the one created by Joe Whitis|PR242266|Non-Catalog Item|Not Set|MFG-SAFETY/MED/ENVIRONMENTAL - INDY|Unclassified|USD|40018806|Carrier Corporation|ELITE SECURITY LLC|1|26 Sep 2022|Not Set
LEW NS-CDLR25-34-6-84-30-DXX-F23-M32;NS, CDLR25 CHAIN ROLLER CONVEYOR|PR242457|Non-Catalog Item|Not Set|Weld - Athens|Unclassified|USD|40000010|Carrier Corporation|AIR SPECIALISTS INC|1|27 Sep 2022|Not Set
ABB Paint Line|PR241879|Non-Catalog Item|Not Set|CVL-COIL SHOP ASSEMBLY|Unclassified|USD|40000714|Carrier Corporation|ABB INC|1|27 Sep 2022|Not Set
Amerigas 2022|PR215949-V3|Non-Catalog Item|Not Set|ICP USA WAREHOUSE|Unclassified|USD|40000920|Carrier Corporation|AMERIGAS PROPANE LP|1|27 Sep 2022|Not Set
Special Handling|PR215949-V3|Non-Catalog Item|Not Set|ICP USA WAREHOUSE|Unclassified|USD|40000920|Carrier Corporation|AMERIGAS PROPANE LP|2|27 Sep 2022|Not Set
2021 Blanket PO for Anthony Wayne Vending|PR217406-V2|Non-Catalog Item|Not Set|CE MANAGEMENT|Unclassified|USD|40000942|Carrier Corporation|ANTHONY WAYNE VENDING CO INC|1|27 Sep 2022|Not Set
AutomationDirect photoelectric sensor, tubular, threaded, plastic housing, through-beam emitter, infrared light emission, 8m sensing distance, 10-30 VDC operating voltage, 2-wire, 4-pin M12 quick-disconnect.|PR242456|Non-Catalog Item|Not Set|Athens Vector Assy|Unclassified|USD|40001027|Carrier Corporation|AUTOMATIONDIRECTCOM INC|5|27 Sep 2022|Not Set
Fuji Electric flange handle, lever, black, external front mount, 2-position, lockable in ON-OFF, defeatable, NEMA 12. For use with Fuji Electric 125A frame MCCBs. 1.5m cable included.|PR242456|Non-Catalog Item|Not Set|Athens Vector Assy|Unclassified|USD|40001027|Carrier Corporation|AUTOMATIONDIRECTCOM INC|2|27 Sep 2022|Not Set
Iboco T1 series open slot wire duct, 1.5in width, 2.25in height, 6.5ft/2m length, gray. Cover included.|PR242456|Non-Catalog Item|Not Set|Athens Vector Assy|Unclassified|USD|40001027|Carrier Corporation|AUTOMATIONDIRECTCOM INC|4|27 Sep 2022|Not Set
NITRA solenoid valve, 5-port (4-way), 2-position, single solenoid spring return, (1) 1/8in female NPT inlet(s), (2) 1/8in female NPT outlet(s), (2) 1/8in female NPT exhaust(s), Cv=0.78, 24 VDC, 3.0W, 11mm DIN style wiring plug.|PR242456|Non-Catalog Item|Not Set|Athens Vector Assy|Unclassified|USD|40001027|Carrier Corporation|AUTOMATIONDIRECTCOM INC|3|27 Sep 2022|Not Set
Socomec SIRCO M series rotary enclosed disconnect switch, load break capable, 3-pole, 600 VAC, 30A, 65kA SCCR, wall mount, UL 508 rated, 3.9 x 6.38 x 4.37in housing.|PR242456|Non-Catalog Item|Not Set|Athens Vector Assy|Unclassified|USD|40001027|Carrier Corporation|AUTOMATIONDIRECTCOM INC|1|27 Sep 2022|Not Set
Rental unit for rolling process at Charlotte factory.|PR227466-V4|Non-Catalog Item|Not Set|CLT FACTORY-MANUFACTURING ENGINEERING|Unclassified|USD|40001554|Carrier Corporation|ELLIOTT TOOL TECHNOLOGIES LTD|1|27 Sep 2022|Not Set
Evoqua Filter Press Replacement Plates & Cloth|PR242501|Non-Catalog Item|Not Set|COLLIERVILLE WATER TREATMENT|Unclassified|USD|40001613|Carrier Corporation|EWT HOLDINGS III CORP EVOQUA WATER TECHNOLOGIES LLC|1|27 Sep 2022|Not Set
Freight|PR242501|Non-Catalog Item|Not Set|COLLIERVILLE WATER TREATMENT|Unclassified|USD|40001613|Carrier Corporation|EWT HOLDINGS III CORP EVOQUA WATER TECHNOLOGIES LLC|2|27 Sep 2022|Not Set
Relocation & Materials for 3 cat5E cables for Tubesheet Press 1, 2, & 3|PR242485|Non-Catalog Item|Not Set|CVL ALUMINUM COIL|Unclassified|USD|40002174|Carrier Corporation|MASTER TELECOM LLC|1|27 Sep 2022|Not Set
MID400 Onsemi Optocoupler|PR242466|Non-Catalog Item|Not Set|Supply Chain Management|Unclassified|USD|40002400|Carrier Corporation|ORBCOMM INC|1|27 Sep 2022|Not Set
TESTO THERMO-HYGROMETER BLUETOOTH|PR242507|Non-Catalog Item|Not Set|Boston|Unclassified|USD|40003110|Carrier Corporation|UNITED REFRIGERATION INC|1|27 Sep 2022|Not Set
Evaporator Prototypes for X4|PR242424|Non-Catalog Item|Not Set|T/T Product Engineering|Unclassified|USD|40004625|Carrier Corporation|MODINE GRENADA LLC|1|27 Sep 2022|Not Set
101Fr Fr2 380V/120Hz Stator YVRA99x-S2FC/o|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|11|27 Sep 2022|Not Set
101Fr Fr2 380V/150Hz Stator YVRA130x-S2FC/r|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|10|27 Sep 2022|Not Set
101Fr Fr2 460V/120Hz Stator YVRA99x-S2FC/p|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|9|27 Sep 2022|Not Set
101Fr Fr2 Die-casting mould|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|8|27 Sep 2022|Not Set
101Fr Fr2 Rotor YVRA130x-R2FC|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|12|27 Sep 2022|Not Set
101Fr Fr2 Stator & Rotor punching tooling|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|7|27 Sep 2022|Not Set
88Fr Fr1 380V/100Hz Stator YVRA65u-S2FC/o|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|4|27 Sep 2022|Not Set
88Fr Fr1 380V/100Hz Stator YVRA65u-S2FC/o|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|5|27 Sep 2022|Not Set
88Fr Fr1 460V/141Hz Stator YVRA65u-S2FC/s|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|3|27 Sep 2022|Not Set
88Fr Fr1 Die-casting mould|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|2|27 Sep 2022|Not Set
88Fr Fr1 Rotor YVRA65u-R2FC|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|6|27 Sep 2022|Not Set
88Fr Fr1 Stator & Rotor punching tooling|PR242372|Non-Catalog Item|Not Set|C&M Screw Development|Unclassified|USD|40005191|Carrier Corporation|BROAD OCEAN MOTOR HONG KONG CO LTD|1|27 Sep 2022|Not Set
Ace Crane Monthly and Annual inspection|PR242207|Non-Catalog Item|Not Set|RES VIRTUS-Engineering|Unclassified|USD|40005332|Carrier Corporation|ACE INDUSTRIES CRANES HOISTS|1|27 Sep 2022|Not Set
Universal Ultra Extinguishing Agent Charge – Concentrate;SOW dated March 28, 2022|PR242497|Non-Catalog Item|Not Set|WHQ ROBUST DESIGN|Unclassified|USD|40006554|Carrier Corporation|CLAIGAN ENVIRONMENTAL INC|1|27 Sep 2022|Not Set
Diversified will provide and install 1 qty Neat Bar Pro below 3 qty existing wall-mounted displays. The Neat Bar Pro will provide a camera, microphone and speakers ;to support Zoom videoconferencing. Diversified will provide and install a Neat Pad for one-touch join of Zoom calls. This is for the Bottleworks Conference Room located on the 6th floor of 30 South Meridian Street, Indianapolis, Indiana 46204.|PR234361-V2|Non-Catalog Item|Not Set|PTAC PUBLIC WAREHOUSE|Unclassified|USD|40008162|Carrier Corporation|ONE DIVERSIFIED LLC|1|27 Sep 2022|Not Set
Unified Communications Technician|PR242004|Non-Catalog Item|Not Set|DT- Infra- Network Services|Unclassified|USD|40008162|Carrier Corporation|ONE DIVERSIFIED LLC|1|27 Sep 2022|Not Set
BRYANT, MATTHEW|PR209315-V7|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Sep 2022|Not Set
Delivery of Final Product per SOW - OT|PR242420|Non-Catalog Item|Not Set|VALIDATION ENGINEERING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Sep 2022|Not Set
Delivery of Final Product per SOW - ST|PR242420|Non-Catalog Item|Not Set|VALIDATION ENGINEERING|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|27 Sep 2022|Not Set
Gamble, Nigel|PR242504|Non-Catalog Item|Not Set|CTD Manufacturing|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Sep 2022|Not Set
Jose, Janet|PR242475|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Sep 2022|Not Set
Sahakian, Edwin|PR242425|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Sep 2022|Not Set
Smith, Rodney|PR242503|Non-Catalog Item|Not Set|CTD Manufacturing|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Sep 2022|Not Set
Traxler, Stephanie|PR242479|Non-Catalog Item|Not Set|DT- Digital Operations|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Sep 2022|Not Set
Wise, Steve|PR242428|Non-Catalog Item|Not Set|One Controls|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Sep 2022|Not Set
Appstream Developer|PR212746-V3|Non-Catalog Item|Not Set|CBS DIGITAL|Unclassified|USD|40015677|Carrier Corporation|INFOSYS LIMITED HOSUR ROAD|1|27 Sep 2022|Not Set
Infosys - AppStream Program Manager|PR206953-V4|Non-Catalog Item|Not Set|Global Business Services & Transformation|Unclassified|USD|40015677|Carrier Corporation|INFOSYS LIMITED HOSUR ROAD|1|27 Sep 2022|Not Set
Vishay Items from Bernd group:;Item: Gas sensor substrate;Qty: 1|PR242441|Non-Catalog Item|Not Set|F&S Advanced Solutions|Unclassified|USD|40016199|Carrier Corporation|BERND GROUP INC|1|27 Sep 2022|Not Set
Vishay Items from Bernd group:;Item: NRE;Qty: 1|PR242441|Non-Catalog Item|Not Set|F&S Advanced Solutions|Unclassified|USD|40016199|Carrier Corporation|BERND GROUP INC|2|27 Sep 2022|Not Set
SWAT Team to Support Invoice Hold Resolution|PR242489|Non-Catalog Item|Not Set|WHQ VP Supply Chain|Unclassified|USD|40017105|Carrier Corporation|GENPACT UK LIMITED|1|27 Sep 2022|Not Set
TR5A Electrical service upgrade to TR5A Battery Room|PR242488|Non-Catalog Item|Not Set|BLDG SUPPORT MAINTENANCE|Unclassified|USD|40017165|Carrier Corporation|E J ELECTRIC LLC|1|27 Sep 2022|Not Set
Carrier Butane Piping Replacement|PR242447|Non-Catalog Item|Not Set|CMU LAB|Unclassified|USD|40018327|Carrier Corporation|BURNS BROS CONTRACTORS LLC|1|27 Sep 2022|Not Set
MSI Resources for the Shingijutsu Workshop|PR242495|Non-Catalog Item|Not Set|CHARLOTTE - PLANT MANAGEMENT|Unclassified|USD|40019573|Carrier Corporation|MSI RESOURCES INC|1|27 Sep 2022|Not Set
Miscellaneous Charges|PR24752|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|100001|28 Sep 2022|Not Set
Sales tax|PR24752|Non-Catalog Item|Not Set|ZF102001|Not Set|USD|1000080|Not Set|Samsung|100004|28 Sep 2022|Not Set
Sales tax|PR24752|Non-Catalog Item|Not Set|ZF102001|Not Set|USD|1000080|Not Set|Samsung|100005|28 Sep 2022|Not Set
Sales tax|PR24752|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|100002|28 Sep 2022|Not Set
Sales tax|PR24752|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|100003|28 Sep 2022|Not Set
Test PR Line Item 3|PR24751|Non-Catalog Item|Not Set|ZF102001|Not Set|USD|1000080|Not Set|Samsung|3|28 Sep 2022|Not Set
Test PR Line Item 3|PR24751|Non-Catalog Item|Not Set|ZF102001|Not Set|USD|1000080|Not Set|Samsung|4|28 Sep 2022|Not Set
Test PR Line Item 3|PR24752|Non-Catalog Item|Not Set|ZF102001|Not Set|USD|1000080|Not Set|Samsung|3|28 Sep 2022|Not Set
Test PR Line Item 3|PR24752|Non-Catalog Item|Not Set|ZF102001|Not Set|USD|1000080|Not Set|Samsung|4|28 Sep 2022|Not Set
Test PR Line Item 3|PR24753|Non-Catalog Item|Not Set|ZF102001|Not Set|USD|1000080|Not Set|Samsung|3|28 Sep 2022|Not Set
Test PR Line Item 3|PR24753|Non-Catalog Item|Not Set|ZF102001|Not Set|USD|1000080|Not Set|Samsung|4|28 Sep 2022|Not Set
Test PR Line Item 4|PR24751|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|1|28 Sep 2022|Not Set
Test PR Line Item 4|PR24752|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|1|28 Sep 2022|Not Set
Test PR Line Item 4|PR24753|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|1|28 Sep 2022|Not Set
test PR_line 2|PR24751|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|2|28 Sep 2022|Not Set
test PR_line 2|PR24752|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|2|28 Sep 2022|Not Set
test PR_line 2|PR24753|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|2|28 Sep 2022|Not Set
TEST INV 168|PR24781|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|04 Oct 2022|Not Set
test service|PR24798|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|Not Set|Not Set|Not Set|1|11 Oct 2022|Not Set
Test PR Line Item 3|PR24829|Non-Catalog Item|Not Set|ZF102001|Not Set|USD|1000080|Not Set|Samsung|3|17 Oct 2022|Not Set
test PR|PR24829|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|1|17 Oct 2022|Not Set
test PR_line 2|PR24829|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|2|17 Oct 2022|Not Set
test PR|PR24830|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|1|17 Oct 2022|Not Set
Sales tax|PR24836|Non-Catalog Item|Not Set|ZE011001|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|100001|18 Oct 2022|Not Set
Test data 18th Oct|PR24836|Non-Catalog Item|Not Set|ZE011001|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|18 Oct 2022|Not Set
Miscellaneous Charges|PR24831|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|100001|18 Oct 2022|Not Set
Miscellaneous Charges|PR24832|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|100001|18 Oct 2022|Not Set
Miscellaneous Charges|PR24835|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|100001|18 Oct 2022|Not Set
Sales tax|PR24831|Non-Catalog Item|Not Set|ZF102001|Not Set|USD|1000080|Not Set|Samsung|100004|18 Oct 2022|Not Set
Sales tax|PR24831|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|100002|18 Oct 2022|Not Set
Sales tax|PR24831|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|1000080|Not Set|Samsung|100003|18 Oct 2022|Not Set
